waterRemaining, rawData, correctedData, creepData, lbs, voltage, stateOfCharge, timeStamp, temp, bottleCount, uptime, resetReason, disconnects, rssi, signalQuality, rippleVersion, particleVersion
108.703,-2928,-2928,-537783,-66.442,5.000,255.996,1542255205,79.700,0,596,0,0,-29,100.000,2.1,0.8.0-rc.8
108.703,-2827,-2897,-537783,-66.442,5.000,255.996,1542255207,79.700,0,598,0,0,-26,100.000,2.1,0.8.0-rc.8
108.703,-2811,-2827,-537783,-66.442,5.000,255.996,1542255208,79.700,0,599,0,0,-27,100.000,2.1,0.8.0-rc.8
108.703,-2877,-2877,-537783,-66.442,5.000,255.996,1542255210,79.700,0,601,0,0,-24,100.000,2.1,0.8.0-rc.8
108.703,-2971,-2877,-537783,-66.442,5.000,255.996,1542255211,79.700,0,602,0,0,-32,100.000,2.1,0.8.0-rc.8
108.703,-2917,-2877,-537783,-66.442,5.000,255.996,1542255212,79.700,0,603,0,0,-32,100.000,2.1,0.8.0-rc.8
108.703,-2978,-2917,-537783,-66.442,5.000,255.996,1542255214,79.588,0,605,0,0,-33,100.000,2.1,0.8.0-rc.8
108.703,-2962,-2962,-537783,-66.442,5.000,255.996,1542255215,79.700,0,606,0,0,-33,100.000,2.1,0.8.0-rc.8
108.703,-2952,-2962,-537783,-66.442,5.000,255.996,1542255217,79.588,0,608,0,0,-31,100.000,2.1,0.8.0-rc.8
108.703,-2889,-2952,-537783,-66.442,5.000,255.996,1542255218,79.700,0,609,0,0,-31,100.000,2.1,0.8.0-rc.8
108.703,-2989,-2962,-537783,-66.442,5.000,255.996,1542255220,79.700,0,611,0,0,-32,100.000,2.1,0.8.0-rc.8
108.703,-2839,-2952,-537783,-66.442,5.000,255.996,1542255221,79.700,0,612,0,0,-27,100.000,2.1,0.8.0-rc.8
108.703,-2887,-2889,-537783,-66.442,5.000,255.996,1542255222,79.700,0,614,0,0,-24,100.000,2.1,0.8.0-rc.8
108.703,-2989,-2889,-537783,-66.442,5.000,255.996,1542255224,79.700,0,615,0,0,-23,100.000,2.1,0.8.0-rc.8
108.703,-3046,-2989,-537783,-66.442,5.000,255.996,1542255225,79.700,0,616,0,0,-24,100.000,2.1,0.8.0-rc.8
108.703,-3061,-2989,-537783,-66.442,5.000,255.996,1542255227,79.700,0,618,0,0,-32,100.000,2.1,0.8.0-rc.8
108.703,-2837,-2989,-537783,-66.442,5.000,255.996,1542255228,79.588,0,619,0,0,-32,100.000,2.1,0.8.0-rc.8
108.703,-2941,-2989,-537783,-66.442,5.000,255.996,1542255230,79.588,0,621,0,0,-34,100.000,2.1,0.8.0-rc.8
